,0
UNMA,life-health-insurance
VOYA,life-health-insurance
AVAL,major-banks
BAC,major-banks
BBD,major-banks
BBDO,major-banks
BBVA,major-banks
BCS,major-banks
BK,major-banks
BMO,major-banks
BNS,major-banks
CADE,major-banks
CIT,major-banks
CM,major-banks
CMA,major-banks
COF,major-banks
CS,major-banks
DB,major-banks
ESQ,major-banks
HOPE,major-banks
HSBC,major-banks
ITUB,major-banks
JPM,major-banks
KEY,major-banks
LYG,major-banks
MFG,major-banks
MUFG,major-banks
PBCT,major-banks
PNC,major-banks
PRK,major-banks
RF,major-banks
RY,major-banks
SAN,major-banks
SFNC,major-banks
SMFG,major-banks
SUPV,major-banks
TD,major-banks
UBS,major-banks
USB,major-banks
WBK,major-banks
WF,major-banks
WFC,major-banks
BCE,major-telecommunications
CHT,major-telecommunications
KT,major-telecommunications
OIBR,major-telecommunications
ORAN,major-telecommunications
SHEN,major-telecommunications
T  A,major-telecommunications
TEO,major-telecommunications
TLK,major-telecommunications
TU,major-telecommunications
VZ,major-telecommunications
ANTM,managed-health-care
CI,managed-health-care
CNC,managed-health-care
HUM,managed-health-care
MGLN,managed-health-care
MOH,managed-health-care
UNH,managed-health-care
CTRM,marine-shipping
DHT,marine-shipping
EURN,marine-shipping
FRO,marine-shipping
